UT000000320;65.532484,57.152192
UT000000321;65.532484,57.152192
UT000000342;65.543223,57.149342
UT000000343;65.543223,57.149342
UT000000879;65.541893,57.149273
UT000000344;65.541893,57.149273
UT000000346;65.542687,57.148848
UT000000348;65.542687,57.148848
UT000000345;65.542301,57.149075
UT000000347;65.542302,57.149076
UT000000332;65.542547,57.149559
UT000000334;65.542547,57.149559
UT000000336;65.542585,57.149507
UT000000338;65.542585,57.149507
UT000000340;65.542703,57.149469
UT000000333;65.542703,57.149469
UT000000335;65.542821,57.149413
UT000000337;65.542821,57.149413
UT000000339;65.543282,57.149196
UT000000341;65.543282,57.149196
UT000000350;65.530054,57.156571
UT000000351;65.530054,57.156571
UT000000322;65.542676,57.149673
UT000000323;65.542676,57.149673
UT000000330;65.535863,57.153309
UT000000331;65.535863,57.153309
UT000000324;65.528498,57.157448
UT000000326;65.528498,57.157448
UT000000325;65.528589,57.157399
UT000000327;65.528589,57.157399
UT000000360;65.559756,57.147623
UT000000361;65.559756,57.147623
UT000000354;65.560164,57.147821
UT000000356;65.560164,57.147821
UT000000355;65.560615,57.148031
UT000000357;65.560615,57.148031
UT000000362;65.545825,57.146724
UT000000364;65.545825,57.146724
UT000000363;65.545165,57.146366
UT000000365;65.545165,57.146366
UT000000368;65.565228,57.134815
UT000000370;65.565228,57.134815
UT000000369;65.564906,57.134604
UT000000371;65.564906,57.134604
UT000000372;65.572148,57.139052
UT000000373;65.572148,57.139052
UT000000374;65.579353,57.14337
UT000000375;65.579353,57.14337
UT000000376;65.573103,57.140353
UT000000377;65.573103,57.140353
UT000000380;65.539897,57.148617
UT000000382;65.539897,57.148617
UT000000381;65.540305,57.148769
UT000000383;65.540305,57.148769
UT000000385;65.540627,57.1486
UT000000384;65.540627,57.1486
UT000000378;65.544479,57.150857
UT000000379;65.544479,57.150857
UT000000390;65.535504,57.153341
UT000000392;65.535504,57.153341
UT000000394;65.535155,57.153204
UT000000396;65.535155,57.153204
UT000000391;65.533868,57.152571
UT000000393;65.533868,57.152571
UT000000395;65.533337,57.152285
UT000000397;65.533337,57.152285
UT000000400;65.577985,57.11782
UT000000401;65.577985,57.11782
UT000000398;65.576509,57.11674
UT000000402;65.576509,57.11674
UT000000399;65.575463,57.115955
UT000000403;65.575463,57.115955
UT000000962;65.569664,57.138446
UT000000961;65.569664,57.138446
UT000000408;65.580699,57.132055
UT000000409;65.580699,57.132055
UT000000442;65.562465,57.141604
UT000000443;65.562465,57.141604
UT000000404;65.562921,57.141756
UT000000406;65.562921,57.141756
UT000000405;65.563967,57.141196
UT000000407;65.563967,57.141196
UT000000410;65.562399,57.141982
UT000000411;65.562399,57.141982
UT000000414;65.555738,57.145474
UT000000415;65.555738,57.145474
UT000000416;65.547467,57.149375
UT000000418;65.547467,57.149375
UT000000420;65.547247,57.149486
UT000000417;65.547247,57.149486
UT000000419;65.548191,57.14909
UT000000421;65.548191,57.14909
UT000000422;65.577094,57.134217
UT000000424;65.577094,57.134217
UT000000423;65.576847,57.134333
UT000000425;65.576847,57.134333
UT000000426;65.54465,57.151311
UT000000427;65.54465,57.151311
UT000000430;65.549376,57.148708
UT000000432;65.549376,57.148708
UT000000434;65.546394,57.1503
UT000000431;65.546394,57.1503
UT000000433;65.545492,57.150758
UT000000435;65.545493,57.150759
UT000000446;65.486081,57.158425
UT000000447;65.486081,57.158425
UT000000448;65.486055,57.158247
UT000000449;65.486055,57.158247
UT000000749;65.585959,57.124428
UT000000753;65.564429,57.154565
UT000000752;65.595078,57.13787
UT000000751;65.566414,57.134394
UT000000002;65.553603,57.124283
UT000000754;65.540258,57.148344
UT000000750;65.616291,57.120711
UT000000175;65.544688,57.145509
UT000000820;65.544688,57.145509
UT000000821;65.544688,57.145509
UT000000822;65.544688,57.145509
UT000000823;65.544688,57.145509
UT000000824;65.544688,57.145509
UT000000825;65.544688,57.145509
UT000000826;65.544688,57.145509
UT000000827;65.544688,57.145509
UT000000828;65.544688,57.145509
UT000000818;65.545498,57.145824
UT000000817;65.545498,57.145824
UT000000819;65.545498,57.145824
UT000000172;65.555728,57.139924
UT000000859;65.555728,57.139924
UT000000860;65.555728,57.139924
UT000000173;65.555728,57.139924
UT000000861;65.555728,57.139924
UT000000862;65.555728,57.139924
UT000000223;65.558297,57.156877
UT000000767;65.558297,57.156877
UT000000768;65.558297,57.156877
UT000000224;65.558297,57.156877
UT000000779;65.558297,57.156877
UT000000780;65.558297,57.156877
UT000000225;65.558297,57.156877
UT000000787;65.558297,57.156877
UT000000790;65.558297,57.156877
UT000000235;65.589953,57.125844
UT000000234;65.589953,57.125844
UT000000842;65.589953,57.125844
UT000000233;65.589953,57.125844
UT000000843;65.589953,57.125844
UT000000844;65.589953,57.125844
UT000000845;65.589953,57.125844
UT000000846;65.589953,57.125844
UT000000847;65.589953,57.125844
UT000000236;65.59726,57.130002
UT000000863;65.59726,57.130002
UT000000864;65.59726,57.130002
UT000000254;65.589845,57.127099
UT000000832;65.589845,57.127099
UT000000833;65.589845,57.127099
UT000000834;65.589845,57.127099
UT000000835;65.589845,57.127099
UT000000837;65.589845,57.127099
UT000000836;65.589845,57.127099
UT000000905;65.589845,57.127099
UT000000256;65.589845,57.127099
UT000000257;65.559779,57.143238
UT000000838;65.559779,57.143238
UT000000839;65.559779,57.143238
UT000000258;65.577793,57.133893
UT000000848;65.577793,57.133893
UT000000849;65.577793,57.133893
UT000000259;65.580046,57.132315
UT000000850;65.580046,57.132315
UT000000851;65.580046,57.132315
UT000000262;65.606416,57.122798
UT000000852;65.606416,57.122798
UT000000853;65.606416,57.122798
UT000000263;65.606416,57.122798
UT000000854;65.606416,57.122798
UT000000855;65.606416,57.122798
UT000000264;65.606416,57.122798
UT000000857;65.606416,57.122798
UT000000858;65.606416,57.122798
UT000000829;65.545043,57.150986
UT000000830;65.545043,57.150986
UT000000831;65.545043,57.150986
UT000000269;65.559184,57.143049
UT000000840;65.559184,57.143049
UT000000841;65.559184,57.143049
UT000000137;65.560771,57.133022
UT000000138;65.560771,57.133022
UT000000806;65.560771,57.133022
UT000000139;65.567814,57.152673
UT000000793;65.567814,57.152673
UT000000794;65.567814,57.152673
UT000000140;65.567814,57.152673
UT000000795;65.567814,57.152673
UT000000796;65.567814,57.152673
UT000000141;65.58388,57.144375
UT000000781;65.58388,57.144375
UT000000782;65.58388,57.144375
UT000000142;65.58388,57.144375
UT000000783;65.58388,57.144375
UT000000784;65.58388,57.144375
UT000000143;65.580919,57.145911
UT000000763;65.580919,57.145911
UT000000764;65.580919,57.145911
UT000000144;65.580919,57.145911
UT000000765;65.580919,57.145911
UT000000766;65.580919,57.145911
UT000000149;65.594748,57.138708
UT000000769;65.594748,57.138708
UT000000770;65.594748,57.138708
UT000000150;65.594748,57.138708
UT000000771;65.594748,57.138708
UT000000772;65.594748,57.138708
UT000000748;65.558056,57.128881
UT000000761;65.558056,57.128881
UT000000762;65.558056,57.128881
UT000000209;65.588145,57.14839
UT000000777;65.588145,57.14839
UT000000778;65.588145,57.14839
UT000000215;65.496074,57.134555
UT000000799;65.496074,57.134555
UT000000800;65.496074,57.134555
UT000000216;65.496074,57.134555
UT000000801;65.496074,57.134555
UT000000802;65.496074,57.134555
UT000000217;65.485506,57.131095
UT000000797;65.485506,57.131095
UT000000798;65.485506,57.131095
UT000000240;65.572051,57.114873
UT000000788;65.572051,57.114873
UT000000789;65.572051,57.114873
UT000000242;65.562294,57.155381
UT000000785;65.562294,57.155381
UT000000786;65.562294,57.155381
UT000000246;65.570126,57.169704
UT000000759;65.570126,57.169704
UT000000760;65.570126,57.169704
UT000000250;65.571038,57.171729
UT000000755;65.571038,57.171729
UT000000756;65.571038,57.171729
UT000000251;65.571038,57.171729
UT000000757;65.571038,57.171729
UT000000758;65.571038,57.171729
UT000000252;65.567304,57.159527
UT000000773;65.567304,57.159527
UT000000774;65.567304,57.159527
UT000000253;65.567304,57.159527
UT000000775;65.567304,57.159527
UT000000776;65.567304,57.159527
UT000000287;65.527445,57.136567
UT000000791;65.527445,57.136567
UT000000792;65.527445,57.136567
UT000000301;65.550647,57.179474
UT000000877;65.550647,57.179474
UT000000878;65.550647,57.179474
UT000000231;65.585441,57.123516
UT000000803;65.585441,57.123516
UT000000804;65.585441,57.123516
UT000000161;65.406003,57.164729
UT000000162;65.406003,57.164729
UT000000237;65.59726,57.130002
UT000000964;65.613985,57.120242
UT000000963;65.613985,57.120242
UT000000115;65.60228,57.134794
UT000000116;65.60228,57.134794
UT000000123;65.546191,57.138503
UT000000124;65.546191,57.138503
UT000000125;65.547103,57.138118
UT000000126;65.547103,57.138118
UT000000127;65.549029,57.13733
UT000000128;65.549029,57.13733
UT000000129;65.549527,57.137129
UT000000130;65.549527,57.137129
UT000000131;65.55031,57.13678
UT000000132;65.55031,57.13678
UT000000117;65.609207,57.116035
UT000000118;65.609207,57.116035
UT000000119;65.553883,57.13565
UT000000120;65.553883,57.13565
UT000000133;65.557982,57.134306
UT000000134;65.557982,57.134306
UT000000121;65.555509,57.135011
UT000000122;65.555509,57.135011
UT000000135;65.557547,57.134478
UT000000136;65.557547,57.134478
UT000000807;65.560771,57.133022
UT000000479;65.586568,57.14264
UT000000480;65.586568,57.14264
UT000000145;65.590977,57.140671
UT000000146;65.590977,57.140671
UT000000147;65.602275,57.134782
UT000000148;65.602275,57.134782
UT000000151;65.575437,57.148381
UT000000152;65.575437,57.148381
UT000000153;65.602629,57.134949
UT000000154;65.602629,57.134949
UT000000166;65.610049,57.153603
UT000000167;65.610049,57.153603
UT000000168;65.587672,57.179203
UT000000169;65.587672,57.179203
UT000000171;65.502839,57.162356
UT000000809;65.502839,57.162356
UT000000810;65.502839,57.162356
UT000000210;65.546308,57.12091
UT000000211;65.546308,57.12091
UT000000212;65.558056,57.128881
UT000000208;65.588145,57.14839
UT000000182;65.600526,57.165452
UT000000183;65.600526,57.165452
UT000000184;65.556865,57.127335
UT000000185;65.556865,57.127335
UT000000194;65.538835,57.11461
UT000000195;65.538835,57.11461
UT000000186;65.545444,57.119384
UT000000187;65.545444,57.119384
UT000000196;65.537676,57.114528
UT000000197;65.537676,57.114528
UT000000188;65.544436,57.118614
UT000000189;65.544436,57.118614
UT000000191;65.543255,57.11775
UT000000190;65.543255,57.11775
UT000000192;65.542322,57.117032
UT000000193;65.542322,57.117032
UT000000204;65.602205,57.172111
UT000000205;65.602205,57.172111
UT000000206;65.600183,57.16101
UT000000207;65.600183,57.16101
UT000000218;65.485506,57.131095
UT000000219;65.643318,57.174506
UT000000220;65.643318,57.174506
UT000000221;65.440421,57.156731
UT000000222;65.440421,57.156731
UT000000229;65.541646,57.160407
UT000000812;65.541646,57.160407
UT000000813;65.541646,57.160407
UT000000238;65.588649,57.125109
UT000000239;65.588649,57.125109
UT000000241;65.572051,57.114873
UT000000230;65.59345,57.127869
UT000000815;65.59345,57.127869
UT000000816;65.59345,57.127869
UT000000811;65.562294,57.155381
UT000000244;65.573435,57.180502
UT000000245;65.573435,57.180502
UT000000248;65.570432,57.169608
UT000000249;65.570432,57.169608
UT000000247;65.570126,57.169704
UT000000260;65.598602,57.12496
UT000000261;65.598602,57.12496
UT000000265;65.605709,57.122411
UT000000266;65.605709,57.122411
UT000000274;65.661004,57.172723
UT000000275;65.661004,57.172723
UT000000882;65.606336,57.177694
UT000000716;65.606336,57.177694
UT000000276;65.583253,57.149792
UT000000277;65.583253,57.149792
UT000000278;65.584561,57.148752
UT000000279;65.584561,57.148752
UT000000280;65.542598,57.121655
UT000000281;65.542598,57.121655
UT000000283;65.526876,57.140592
UT000000284;65.526876,57.140592
UT000000717;65.527166,57.140825
UT000000282;65.527166,57.140825
UT000000814;65.527166,57.140825
UT000000286;65.527187,57.140166
UT000000285;65.527187,57.140166
UT000000288;65.52068,57.11852
UT000000289;65.52068,57.11852
UT000000290;65.526844,57.13823
UT000000291;65.526844,57.13823
UT000000292;65.526839,57.135164
UT000000293;65.526839,57.135164
UT000000295;65.551484,57.120224
UT000000296;65.551484,57.120224
UT000000297;65.55922,57.118158
UT000000298;65.55922,57.118158
UT000000305;65.542842,57.175981
UT000000306;65.542842,57.175981
UT000000308;65.544677,57.176499
UT000000307;65.544677,57.176499
UT000000302;65.550647,57.179474
UT000000303;65.556918,57.183468
UT000000304;65.556918,57.183468
UT000000232;65.585441,57.123516
UT000000452;65.561307,57.155241
UT000000214;65.565663,57.133298
